Name X Y Z
EARTH -1.84832e+06 3.7399e+06 2.02751e+06
EARTH -1.84833e+06 3.7399e+06 2.0275e+06
EARTH -1.84834e+06 3.73989e+06 2.0275e+06
EARTH -1.84835e+06 3.73989e+06 2.0275e+06
EARTH -1.84837e+06 3.73988e+06 2.0275e+06
EARTH -1.84838e+06 3.73988e+06 2.02749e+06
EARTH -1.84839e+06 3.73987e+06 2.02749e+06
EARTH -1.8484e+06 3.73987e+06 2.02749e+06
EARTH -1.84841e+06 3.73986e+06 2.02749e+06
EARTH -1.84842e+06 3.73986e+06 2.02748e+06
EARTH -1.84843e+06 3.73985e+06 2.02748e+06
EARTH -1.84844e+06 3.73985e+06 2.02748e+06
EARTH -1.84846e+06 3.73984e+06 2.02748e+06
EARTH -1.84847e+06 3.73984e+06 2.02747e+06
EARTH -1.84848e+06 3.73983e+06 2.02747e+06
EARTH -1.84849e+06 3.73983e+06 2.02747e+06
EARTH -1.8485e+06 3.73982e+06 2.02747e+06
EARTH -1.84851e+06 3.73982e+06 2.02746e+06
EARTH -1.84852e+06 3.73981e+06 2.02746e+06
EARTH -1.84854e+06 3.73981e+06 2.02746e+06
EARTH -1.84855e+06 3.7398e+06 2.02745e+06
EARTH -1.84856e+06 3.7398e+06 2.02745e+06
EARTH -1.84857e+06 3.7398e+06 2.02745e+06
EARTH -1.84858e+06 3.73979e+06 2.02745e+06
EARTH -1.84859e+06 3.73979e+06 2.02744e+06
EARTH -1.8486e+06 3.73978e+06 2.02744e+06
EARTH -1.84861e+06 3.73978e+06 2.02744e+06
EARTH -1.84863e+06 3.73977e+06 2.02744e+06
EARTH -1.84864e+06 3.73977e+06 2.02743e+06
EARTH -1.84865e+06 3.73976e+06 2.02743e+06
EARTH -1.84866e+06 3.73976e+06 2.02743e+06
EARTH -1.84867e+06 3.73975e+06 2.02743e+06
EARTH -1.84868e+06 3.73975e+06 2.02742e+06
EARTH -1.84869e+06 3.73974e+06 2.02742e+06
EARTH -1.84871e+06 3.73974e+06 2.02742e+06
EARTH -1.84872e+06 3.73973e+06 2.02742e+06
EARTH -1.84873e+06 3.73973e+06 2.02741e+06
EARTH -1.84874e+06 3.73972e+06 2.02741e+06
EARTH -1.84875e+06 3.73972e+06 2.02741e+06
EARTH -1.84876e+06 3.73971e+06 2.02741e+06
EARTH -1.84877e+06 3.73971e+06 2.0274e+06
EARTH -1.84878e+06 3.7397e+06 2.0274e+06
EARTH -1.8488e+06 3.7397e+06 2.0274e+06
EARTH -1.84881e+06 3.73969e+06 2.0274e+06
EARTH -1.84882e+06 3.73969e+06 2.02739e+06
EARTH -1.84883e+06 3.73968e+06 2.02739e+06
EARTH -1.84884e+06 3.73968e+06 2.02739e+06
EARTH -1.84885e+06 3.73968e+06 2.02739e+06
EARTH -1.84886e+06 3.73967e+06 2.02738e+06
EARTH -1.84888e+06 3.73967e+06 2.02738e+06
EARTH -1.84889e+06 3.73966e+06 2.02738e+06
EARTH -1.8489e+06 3.73966e+06 2.02737e+06
EARTH -1.84891e+06 3.73965e+06 2.02737e+06
EARTH -1.84892e+06 3.73965e+06 2.02737e+06
EARTH -1.84893e+06 3.73964e+06 2.02737e+06
EARTH -1.84894e+06 3.73964e+06 2.02736e+06
EARTH -1.84895e+06 3.73963e+06 2.02736e+06
EARTH -1.84897e+06 3.73963e+06 2.02736e+06
EARTH -1.84898e+06 3.73962e+06 2.02736e+06
EARTH -1.84899e+06 3.73962e+06 2.02735e+06
EARTH -1.849e+06 3.73961e+06 2.02735e+06
